userId,1,2,3,4
4221,"{'19', '5'}",{'19'},,
4222,"{'19', '1'}","{'4', '19'}",{'19'},
4223,,,{'19'},
4224,{'4'},"{'15', '4', '1'}",{'1'},"{'15', '4', '1'}"
4225,{'3'},{'3'},"{'8', '3'}","{'20', '8'}"
4226,"{'15', '19', '1', '13'}","{'15', '19', '5', '13'}","{'22', '15', '19', '13'}","{'19', '15', '1', '5', '13', '4'}"
4227,"{'4', '1', '5'}","{'4', '1'}","{'4', '1', '5'}","{'19', '4', '3', '5'}"
4228,{'19'},{'19'},{'19'},{'19'}
4229,"{'22', '19'}",{'19'},"{'19', '1', '5'}",{'1'}
4230,"{'4', '1', '13'}","{'1', '13'}","{'1', '13'}","{'4', '1', '13'}"
4231,,,,{'15'}
4232,{'22'},"{'22', '5'}",{'22'},{'22'}
4233,,,{'22'},"{'22', '19', '1', '5'}"
4234,"{'4', '19'}","{'22', '19'}","{'22', '19', '4'}",
4235,{'22'},{'22'},{'22'},"{'22', '15'}"
4236,{'4'},"{'22', '4'}","{'19', '22', '4', '6'}","{'4', '1'}"
4237,"{'22', '1', '6', '9', '13', '8', '10'}","{'22', '8'}","{'22', '1'}","{'19', '22', '4', '5'}"
4238,,"{'16', '1'}",{'1'},
4240,,"{'22', '19', '1'}",{'22'},"{'19', '22', '4'}"
4241,{'1'},"{'4', '1', '5'}","{'4', '1', '5'}",{'3'}
4242,"{'22', '19', '1'}","{'22', '19', '1'}","{'22', '19'}","{'22', '19', '1', '13'}"
4243,"{'19', '1'}","{'19', '1', '5'}","{'19', '3', '1'}","{'19', '3', '1', '5'}"
4244,"{'19', '16', '22', '15', '1', '13'}","{'22', '19', '1'}","{'22', '15', '1', '13'}","{'22', '15', '19'}"
4246,"{'22', '19', '5'}","{'19', '22', '15', '1', '5'}","{'22', '19', '5'}",
4247,{'5'},,{'15'},{'6'}
4248,{'4'},,{'4'},{'4'}
4249,{'13'},,"{'19', '13'}","{'10', '12', '21', '15'}"
4250,"{'22', '19', '1', '5'}","{'22', '19', '1'}","{'22', '19', '1'}","{'22', '15', '19'}"
4251,"{'19', '1', '14'}","{'22', '19', '14'}","{'22', '19', '1'}","{'22', '19'}"
4252,"{'22', '19', '1'}","{'22', '19', '4', '1'}",,"{'22', '19', '1'}"
4253,{'1'},{'1'},{'20'},"{'15', '1'}"
4254,"{'4', '1'}",{'3'},"{'19', '3'}","{'19', '1'}"
4255,"{'19', '1', '5', '20', '13', '4'}","{'20', '19', '4'}","{'19', '22', '15', '1', '5', '4'}","{'22', '15', '19'}"
4256,{'16'},,,
4257,"{'22', '16'}",{'22'},{'22'},{'22'}
4258,"{'22', '19'}",,"{'19', '22', '15', '4'}","{'15', '19', '5'}"
4259,{'1'},,{'1'},{'3'}
4260,"{'22', '19', '1'}","{'19', '1'}",,{'19'}
4261,{'5'},"{'5', '13'}",{'5'},{'5'}
4262,"{'19', '1'}","{'22', '19', '1', '14'}","{'22', '19', '1'}","{'19', '15'}"
4263,"{'22', '19', '1'}","{'22', '1'}",{'22'},{'22'}
4264,"{'22', '19', '1'}",{'1'},"{'22', '1'}",
4265,{'1'},{'1'},{'1'},"{'19', '6'}"
4266,,,,{'1'}
4268,,{'5'},,
4269,"{'22', '19'}","{'22', '19', '1'}",,{'1'}
4270,{'5'},,{'5'},"{'19', '5'}"
4271,"{'22', '1', '5'}",{'22'},"{'22', '19'}",{'22'}
4272,"{'19', '15', '1', '5', '12', '4'}","{'19', '4'}","{'19', '15', '1', '14', '4'}","{'19', '22', '15', '1', '12', '4'}"
4273,"{'19', '16', '22', '3', '4'}","{'22', '5', '3', '13', '4'}","{'22', '3', '5'}","{'22', '3'}"
4274,"{'19', '5'}",,{'4'},"{'22', '4'}"
4275,"{'4', '1', '14'}",{'1'},{'4'},"{'4', '1'}"
4276,"{'19', '16'}",{'19'},"{'22', '19'}","{'19', '12', '4'}"
4277,"{'12', '1', '5', '14'}","{'12', '1', '5', '14'}","{'12', '1', '5', '14'}","{'16', '5'}"
4278,"{'22', '1'}","{'22', '5'}","{'22', '19', '5'}",{'22'}
